Essential Question,Domain,Type,Sector,Indicator,Metric,Data Element,Ed-Fi Availability,Ed-Fi Data Element Path,CEDS Availability,CEDS Data Element Path V11,CEDS Data Element Path V13,Other Data Sources,Data Capture Method,Data Status,Notes,Classification,CEDS Queries V11,CEDS Queries V13,Column 2,Column 21,Column 4,Column 5,Column 6,Column 7,Column 8
9. Are teachers and schools making sufficient contributions to academic growth for students?,Academic Progress & Completion,Outcomes & Milestones,K12,Math and reading proficiency in grade 3,Percentage of students in grade 3 who meet grade-level standards in reading/English language arts and math as measured by state standardized tests,Reading proficiency on state standardized test (Grade 3),Found,"

Assessment.AssessmentIdentifier, StudentAssessmentPerformanceLevel.PerfomanceLevelDescriptorId
PerformanceLevelDescriptor.DescriptorId",Found,FactK12StudentAssessments.AssessmentId,FactK12StudentAssessments.AssessmentId,Student Data Application Guide,Automated,Available,p. 88,,"select  
        'Students meet Assessment Benchmark in Reading (Grade 3)' AS DataElementName,
                'RecordCount' AS CharacteristicType,  
                count(1) AS Value,
                NULL AS Remarks
                from rds.FactK12StudentAssessments ase  
                join  RDS.FactK12StudentEnrollments f on f.K12StudentId = ase.K12StudentId
        join RDS.DimAssessments da on da.DimAssessmentId = ase.AssessmentId
                join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
                where  ase.AssessmentResultScoreValueScaleScore is not null
                        and da.AssessmentTypeCode = 'Benchmark' 
                        and da.AssessmentAcademicSubjectCode in ('13372', '00560', '13373')
                                                and g.gradelevelcode in ('03')","select  
        'Students meet Assessment Benchmark in Reading (Grade 3)' AS DataElementName,
                'RecordCount' AS CharacteristicType,  
                count(1) AS Value,
                NULL AS Remarks
                from rds.FactK12StudentAssessments ase  
                join  RDS.FactK12StudentEnrollments f on f.K12StudentId = ase.K12StudentId
        join RDS.DimAssessments da on da.DimAssessmentId = ase.AssessmentId
                join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
                where  ase.AssessmentResultScoreValueScaleScore is not null
                        and da.AssessmentTypeCode = 'Benchmark' 
                        and da.AssessmentAcademicSubjectCode in ('13372', '00560', '13373')
                                                and g.gradelevelcode in ('03')",,,,,,,
9. Are teachers and schools making sufficient contributions to academic growth for students?,Academic Progress & Completion,Outcomes & Milestones,K12,Math and reading proficiency in grade 8,Percentage of students in grade 8 who meet grade-level standards in reading/English language arts and math as measured by state standardized tests,Student grade level,Found,StudentSchoolAssociation.EntryGradeLevel,Found,FactK12Enrollments.EntryGradeId,FactK12Enrollments.EntryGradeId,ALSDE Data Code Manual,Automated,Available,,,"select
        'Number of Students (Grade 8)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks
    from
        RDS.FactK12StudentEnrollments f
        join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
    where
         g.GradeLevelCode in ('08')","select
        'Number of Students (Grade 8)' AS DataElementName,
    'RecordCount' AS CharacteristicType,
        CAST(COUNT(*) AS NVARCHAR(MAX)) AS Value,
    NULL AS Remarks
    from
        RDS.FactK12StudentEnrollments f
        join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
    where
         g.GradeLevelCode in ('08')",,,,,,,
9. Are teachers and schools making sufficient contributions to academic growth for students?,Academic Progress & Completion,Outcomes & Milestones,K12,Math and reading proficiency in grade 8,Percentage of students in grade 8 who meet grade-level standards in reading/English language arts and math as measured by state standardized tests,Math proficiency on state standardized test (Grade 8),Found,"

Assessment.AssessmentIdentifier, StudentAssessmentPerformanceLevel.PerfomanceLevelDescriptorId
PerformanceLevelDescriptor.DescriptorId",Found,"

Assessment.AssessmentIdentifier, StudentAssessmentPerformanceLevel.PerfomanceLevelDescriptorId
PerformanceLevelDescriptor.DescriptorId","

Assessment.AssessmentIdentifier, StudentAssessmentPerformanceLevel.PerfomanceLevelDescriptorId
PerformanceLevelDescriptor.DescriptorId",Found,FactK12StudentAssessments.AssessmentId,Available,p. 88,,"select  
        'Students meet Assessment Benchmark in Reading (Grade3)' AS DataElementName,
                'RecordCount' AS CharacteristicType,  
                count(1) AS Value,
                NULL AS Remarks
                from rds.FactK12StudentAssessments ase  
                join  RDS.FactK12StudentEnrollments f on f.K12StudentId = ase.K12StudentId
        join RDS.DimAssessments da on da.DimAssessmentId = ase.AssessmentId
                join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
                where  ase.AssessmentResultScoreValueScaleScore is not null
                        and da.AssessmentTypeCode = 'Benchmark' 
                        and da.AssessmentAcademicSubjectCode in ('01166')
                                                and g.gradelevelcode in ('03')","select  
        'Students meet Assessment Benchmark in Reading (Grade3)' AS DataElementName,
                'RecordCount' AS CharacteristicType,  
                count(1) AS Value,
                NULL AS Remarks
                from rds.FactK12StudentAssessments ase  
                join  RDS.FactK12StudentEnrollments f on f.K12StudentId = ase.K12StudentId
        join RDS.DimAssessments da on da.DimAssessmentId = ase.AssessmentId
                join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
                where  ase.AssessmentResultScoreValueScaleScore is not null
                        and da.AssessmentTypeCode = 'Benchmark' 
                        and da.AssessmentAcademicSubjectCode in ('01166')
                                                and g.gradelevelcode in ('03')",,,,,,,
9. Are teachers and schools making sufficient contributions to academic growth for students?,Academic Progress & Completion,Outcomes & Milestones,K12,Math and reading proficiency in grade 8,Percentage of students in grade 8 who meet grade-level standards in reading/English language arts and math as measured by state standardized tests,Reading proficiency on state standardized test (Grade 8),Found,"

Assessment.AssessmentIdentifier, StudentAssessmentPerformanceLevel.PerfomanceLevelDescriptorId
PerformanceLevelDescriptor.DescriptorId",Found,"

Assessment.AssessmentIdentifier, StudentAssessmentPerformanceLevel.PerfomanceLevelDescriptorId
PerformanceLevelDescriptor.DescriptorId","

Assessment.AssessmentIdentifier, StudentAssessmentPerformanceLevel.PerfomanceLevelDescriptorId
PerformanceLevelDescriptor.DescriptorId",Found,FactK12StudentAssessments.AssessmentId,Available,p. 88,,"select  
        'Students meet Assessment Benchmark in Reading (Grade3)' AS DataElementName,
                'RecordCount' AS CharacteristicType,  
                count(1) AS Value,
                NULL AS Remarks
                from rds.FactK12StudentAssessments ase  
                join  RDS.FactK12StudentEnrollments f on f.K12StudentId = ase.K12StudentId
        join RDS.DimAssessments da on da.DimAssessmentId = ase.AssessmentId
                join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
                where  ase.AssessmentResultScoreValueScaleScore is not null
                        and da.AssessmentTypeCode = 'Benchmark' 
                        and da.AssessmentAcademicSubjectCode in ('13372', '00560', '13373')
                                                and g.gradelevelcode in ('03')","select  
        'Students meet Assessment Benchmark in Reading (Grade3)' AS DataElementName,
                'RecordCount' AS CharacteristicType,  
                count(1) AS Value,
                NULL AS Remarks
                from rds.FactK12StudentAssessments ase  
                join  RDS.FactK12StudentEnrollments f on f.K12StudentId = ase.K12StudentId
        join RDS.DimAssessments da on da.DimAssessmentId = ase.AssessmentId
                join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
                where  ase.AssessmentResultScoreValueScaleScore is not null
                        and da.AssessmentTypeCode = 'Benchmark' 
                        and da.AssessmentAcademicSubjectCode in ('13372', '00560', '13373')
                                                and g.gradelevelcode in ('03')",,,,,,,
9. Are teachers and schools making sufficient contributions to academic growth for students?,Academic Progress & Completion,E-W System Conditions,K12,Teachers' contributions to student learning growth,"Percentage of instructors ' above average contributions to student learning, as measured by student growth on state standardized tests or other outcomes (for example, using value-added models or student growth percentiles)","SGP for standardized assessments (subject specific for reading/literacy, math, and science)",Found,"

Assessment.AssessmentIdentifier, StudentAssessmentPerformanceLevel.PerfomanceLevelDescriptorId
PerformanceLevelDescriptor.DescriptorId",,,,,Manual,Not Available,,,"select  'Instructors demonstrating above average contributions (K-12)' AS DataElementName,
                'RecordCount' AS CharacteristicType,  
                count(1) AS Value,
                NULL AS Remarks
                from rds.FactK12StudentAssessments ase  
                join  RDS.FactK12StudentEnrollments f on f.K12StudentId = ase.K12StudentId
        join RDS.DimAssessments da on da.DimAssessmentId = ase.AssessmentId
                join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
                                join RDS.DimAssessmentSubtests s on ase.AssessmentSubtestId = s.DimAssessmentSubtestId
                                --join RDS.DimAssessmentResults ar on ar.DimAssessmentResultId = ase.AssessmentResultId        
                where  ase.AssessmentResultScoreValueScaleScore is not null
                        and da.AssessmentTypeCode = 'GrowthMeasure' 
                        and da.AssessmentAcademicSubjectCode in ('01166', '13373', '00562', '13374')
                                                and s.AssessmentPurpose = 'Assessment of student''s progress'
                                                --and ar.AssessmentScoreMetricTypeCode in  ('03474', '03478', '03479')","select  'Instructors demonstrating above average contributions (K-12)' AS DataElementName,
                'RecordCount' AS CharacteristicType,  
                count(1) AS Value,
                NULL AS Remarks
                from rds.FactK12StudentAssessments ase  
                join  RDS.FactK12StudentEnrollments f on f.K12StudentId = ase.K12StudentId
        join RDS.DimAssessments da on da.DimAssessmentId = ase.AssessmentId
                join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
                                join RDS.DimAssessmentSubtests s on ase.AssessmentSubtestId = s.DimAssessmentSubtestId      
                where  ase.AssessmentResultScoreValueScaleScore is not null
                        and da.AssessmentTypeCode = 'GrowthMeasure' 
                        and da.AssessmentAcademicSubjectCode in ('01166', '13373', '00562', '13374')
                                                and s.AssessmentPurpose = 'Assessment of student''s progress'",,,,,,,
9. Are teachers and schools making sufficient contributions to academic growth for students?,Academic Progress & Completion,E-W System Conditions,K12,Teachers' contributions to student learning growth,"Percentage of instructors ' above average contributions to student learning, as measured by student growth on state standardized tests or other outcomes (for example, using value-added models or student growth percentiles)",VAM for subject specific assessment,Not Found,N/A,,,,,Manual,Not Available,,,Not sure about VAM in CEDS DWH,Not sure about VAM in CEDS DWH,,,,,,,
9. Are teachers and schools making sufficient contributions to academic growth for students?,Academic Progress & Completion,E-W System Conditions,PS,Teachers' contributions to student learning growth,"Percentage of instructors demonstrating above average contributions to student learning, as measured by student growth on state standardized tests or other outcomes (for example, using value-added models or student growth percentiles)","SGP for standardized assessments (subject specific for reading/literacy, math, and science)",Not Found,N/A,,,,,Manual,Not Available,,,"select  'Instructors demonstrating above average contributions (K-12)' AS DataElementName,
                'RecordCount' AS CharacteristicType,  
                count(1) AS Value,
                NULL AS Remarks
                from rds.FactK12StudentAssessments ase  
                join  RDS.FactK12StudentEnrollments f on f.K12StudentId = ase.K12StudentId
        join RDS.DimAssessments da on da.DimAssessmentId = ase.AssessmentId
                join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
                                join RDS.DimAssessmentSubtests s on ase.AssessmentSubtestId = s.DimAssessmentSubtestId
                                --join RDS.DimAssessmentResults ar on ar.DimAssessmentResultId = ase.AssessmentResultId        
                where  ase.AssessmentResultScoreValueScaleScore is not null
                        and da.AssessmentTypeCode = 'GrowthMeasure' 
                        and da.AssessmentAcademicSubjectCode in ('01166', '13373', '00562', '13374')
                                                and s.AssessmentPurpose = 'Assessment of student''s progress'
                                                --and ar.AssessmentScoreMetricTypeCode in  ('03474', '03478', '03479')","select  'Instructors demonstrating above average contributions (K-12)' AS DataElementName,
                'RecordCount' AS CharacteristicType,  
                count(1) AS Value,
                NULL AS Remarks
                from rds.FactK12StudentAssessments ase  
                join  RDS.FactK12StudentEnrollments f on f.K12StudentId = ase.K12StudentId
        join RDS.DimAssessments da on da.DimAssessmentId = ase.AssessmentId
                join RDS.DimGradeLevels g on f.EntryGradeLevelId = g.DimGradeLevelId
                                join RDS.DimAssessmentSubtests s on ase.AssessmentSubtestId = s.DimAssessmentSubtestId       
                where  ase.AssessmentResultScoreValueScaleScore is not null
                        and da.AssessmentTypeCode = 'GrowthMeasure' 
                        and da.AssessmentAcademicSubjectCode in ('01166', '13373', '00562', '13374')
                                                and s.AssessmentPurpose = 'Assessment of student''s progress'",,,,,,,
9. Are teachers and schools making sufficient contributions to academic growth for students?,Academic Progress & Completion,E-W System Conditions,PS,Teachers' contributions to student learning growth,"Percentage of instructors demonstrating above average contributions to student learning, as measured by student growth on state standardized tests or other outcomes (for example, using value-added models or student growth percentiles)",VAM for subject specific assessment,Not Found,N/A,,,,,Manual,Not Available,,,Not sure about VAM in CEDS DWH,Not sure about VAM in CEDS DWH,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",Outcomes & Milestones,K12,Self-management,Percentage of students reporting a high level of self-management on surveys such as the CORE Districts SEL Survey self-management scale (grades 5–12)  or Shift and Persist scale for children,Results on self-management survey (K-12),Found,"SurveyQuestionResponseSurveyQuestionResponseValue.NumericResponse, SurveyQuestionResponseSurveyQuestionResponseValue.TextResponse ",,,,,Manual,Not Available,,,,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",Outcomes & Milestones,PS,Self-management,Percentage of individuals reporting a high level of self-management on surveys such as the Shift and Persist scale for teens and adults,Self-management survey results (Postsecondary),Not Found,N/A,,,,,Manual,Not Available,,,,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",Outcomes & Milestones,WF,Self-management,Percentage of individuals reporting a high level of self-management on surveys such as the Shift and Persist scale for teens and adults,Self-management survey results (Workforce),Not Found,N/A,,,,,Manual,Not Available,,,,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",Outcomes & Milestones,K12,Growth mindset,"Percentage of students reporting a high level of growth mindset on surveys such as the CORE Districts SEL Survey Growth Mindset Scale (grades 5–12)  or the Growth Mindset Scale developed by Carol Dweck,  which may be used with children, teens, and adults",Growth mindset survey results (K-12),Found,"SurveyQuestionResponseSurveyQuestionResponseValue.NumericResponse, SurveyQuestionResponseSurveyQuestionResponseValue.TextResponse ",,,,,Manual,Not Available,,,,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",Outcomes & Milestones,PS,Growth mindset,Percentage of individuals reporting a high level of growth mindset on surveys such as the Growth Mindset Scale developed by Carol Dweck,Growth mindset survey results (Postsecondary),Not Found,N/A,,,,,Manual,Not Available,,,,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",Outcomes & Milestones,WF,Growth mindset,Percentage of individuals reporting a high level of growth mindset on surveys such as the Growth Mindset Scale developed by Carol Dweck,Growth mindset survey results (Workforce),Not Found,N/A,,,,,Manual,Not Available,,,,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",Outcomes & Milestones,K12,Self-efficacy,Percentage of students reporting a high level of self-efficacy on surveys such as the CORE Districts Social-Emotional Learning (SEL) Survey self-efficacy scale,Self-efficacy survey results (K-12),Found,"SurveyQuestionResponseSurveyQuestionResponseValue.NumericResponse, SurveyQuestionResponseSurveyQuestionResponseValue.TextResponse ",,,,,Manual,Not Available,,,,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",Outcomes & Milestones,PS,Self-efficacy,Percentage of individuals reporting a high level of self-efficacy on surveys such as the New General Self-Efficacy Scale  or Ascend survey’s Self-Efficacy Scale,Self-efficacy survey results (Postsecondary),Not Found,N/A,,,,,Manual,Not Available,,,,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",Outcomes & Milestones,WF,Self-efficacy,Percentage of individuals reporting a high level of self-efficacy on surveys such as the New General Self-Efficacy Scale  or Ascend survey’s Self-Efficacy Scale,Self-efficacy survey results (Workforce),Not Found,N/A,,,,,Manual,Not Available,,,,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",Outcomes & Milestones,K12,Social awareness,Percentage of students reporting a high level of social awareness on surveys such as the CORE Districts SEL Survey  social awareness scale,Social awareness survey results (K-12),Found,"SurveyQuestionResponseSurveyQuestionResponseValue.NumericResponse, SurveyQuestionResponseSurveyQuestionResponseValue.TextResponse ",,,,,Manual,Not Available,,,,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",Outcomes & Milestones,K12,Social awareness,Percentage of students meeting benchmarks on teacher ratings of social skills drawn from Elliott and Gresham’s Social Skills Rating Scale,Results on social awareness teacher rating,Found,"SurveyQuestionResponseSurveyQuestionResponseValue.NumericResponse, SurveyQuestionResponseSurveyQuestionResponseValue.TextResponse ",,,,,Manual,Not Available,,,,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",Outcomes & Milestones,PS,Social awareness,"Percentage of individuals demonstrating social proficiency on a performance assessment, such as the National Work Readiness Credential Essential Soft Skills assessment",Social proficiency performance assessment results (Postsecondary),Not Found,N/A,,,,,Manual,Not Available,,,,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",Outcomes & Milestones,WF,Social awareness,"Percentage of individuals demonstrating social proficiency on a performance assessment, such as the National Work Readiness Credential Essential Soft Skills assessment",Social proficiency performance assessment results (Workforce),Not Found,N/A,,,,,Manual,Not Available,,,,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",Outcomes & Milestones,K12,Cultural competency,"Reflecting the lack of developed tools in the field, we are unable to recommend a specific measurement tool. In some contexts, it might be possible to adapt an existing measure for adults for use with youth. For examples, we refer to the tools recommended for postsecondary and workforce contexts (HEIghten Outcomes Assessment for Intercultural Competency & Diversity or The Intercultural Development Inventory)",Cultural competency assessment results (K-12),Not Found,N/A,,,,,Manual,Not Available,,,,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",Outcomes & Milestones,PS,Cultural competency,"Percentage of students demonstrating proficiency on an assessment of cultural competency, such as the HEIghten Outcomes Assessment for Intercultural Competency  & Diversity or The Intercultural Development Inventory®",Cultural competency assessment results (Postsecondary),Not Found,N/A,,,,,Manual,Not Available,,,,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",Outcomes & Milestones,WF,Cultural competency,"Percentage of individuals demonstrating proficiency on an assessment of cultural competency, such as The Intercultural Development Inventory®",Cultural competency assessment results (Workforce),Not Found,N/A,,,,,Manual,Not Available,,,,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",Outcomes & Milestones,K12,Social capital,"Percentage of students or individuals reporting a high level of social capital on surveys such as the Social Capital Assessment + Learning for Equity (SCALE) Social Capital, Network Diversity, and Network Strength scales",Social capital survey results (K-12),Found,"SurveyQuestionResponseSurveyQuestionResponseValue.NumericResponse, SurveyQuestionResponseSurveyQuestionResponseValue.TextResponse ",,,,,Manual,Not Available,,,,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",Outcomes & Milestones,PS,Social capital,"Percentage of students or individuals reporting a high level of social capital on surveys such as the Social Capital Assessment + Learning for Equity (SCALE) Social Capital, Network Diversity, and Network Strength scales",Social capital survey results (Postsecondary),Partial,"SurveyQuestionResponseSurveyQuestionResponseValue.NumericResponse, SurveyQuestionResponseSurveyQuestionResponseValue.TextResponse ",,,,,Manual,Not Available,,,,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",Outcomes & Milestones,WF,Social capital,Percentage of individuals reporting a high level of social capital on surveys such as the Social Capital Community Benchmark Survey,Social capital survey results (Workforce),Not Found,N/A,,,,,Manual,Not Available,,,,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",Outcomes & Milestones,PK,Mental and emotional well-being,"Percentage of children with identified health or developmental concerns as identified by a developmental screening tool. For a list of screening tools that may be appropriate for children younger than age 5, see the following guide from the Head Start Early Childhood Learning and Knowledge Center: “Birth to 5: Watch Me Thrive! A Compendium of Screening Measures for Young Children.”",Age (or birth date),Likely not available,Student.BirthData.BirthDate,,,,ALSDE Data Code Manual,Automated,Available,Must be cross referenced with grade level,,PK Tables not available in CEDS DWH,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",Outcomes & Milestones,PK,Mental and emotional well-being,"Percentage of children with identified health or developmental concerns as identified by a developmental screening tool. For a list of screening tools that may be appropriate for children younger than age 5, see the following guide from the Head Start Early Childhood Learning and Knowledge Center: “Birth to 5: Watch Me Thrive! A Compendium of Screening Measures for Young Children.”",Developmental screening results,Not Found,N/A,,,,First Class Pre-K Guidelines,Semi-Automated,Partially Available,"Only administered to children in the First Class Pre-K program. In addition, federal IDEA reporting requirements include ""Indicator 11: Child Find,"" which measures whether children were evaluated for special education services within 60 days or the state-specified timeline for evaluation after parents give consent. Indicator 12: Early Childhood Transition, measures percentages of children referred from early intervention and found eligible for special education services who receive an Individualized Education Program. Alabama's Part B results are linked here.  In addition, the National Survey of Children's Health estimates the percentage of children 9 months to 35 months who receive a developmental screening.",,PK Tables not available in CEDS DWH,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",Outcomes & Milestones,K12,Mental and emotional well-being,"Percentage of youth with mental or emotional health needs as identified by a universal screening tool. For a list of mental health screening tools that may be appropriate for school-based use, see the following guide from the National Center on Safe Supportive Learning Environments: “Mental Health Screening Tools for Grades K-12.”",Age (or birth date),Found,Student.BirthData.BirthDate,,,,ALSDE Data Code Manual,Automated,Available,Must be cross referenced with grade level,,,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",Outcomes & Milestones,K12,Mental and emotional well-being,"Percentage of youth with mental or emotional health needs as identified by a universal screening tool. For a list of mental health screening tools that may be appropriate for school-based use, see the following guide from the National Center on Safe Supportive Learning Environments: “Mental Health Screening Tools for Grades K-12.”",Universal screening results,Not Found,N/A,,,,,Manual,Not Available,,,,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",Outcomes & Milestones,PS,Mental and emotional well-being,Psychological well-being scale.,Results on mental and emotional well-being assessments,Not Found,N/A,,,,,Manual,Not Available,,,,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",Outcomes & Milestones,WF,Mental and emotional well-being,Psychological well-being scale.,Results on mental and emotional well-being assessments,Not Found,N/A,,,,,Manual,Not Available,,,,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",Outcomes & Milestones,K12,Physical development and well-being,"Percentage of students meeting benchmarks on self-rated surveys of physical health, such as the California Healthy Kids Survey Physical Health & Nutrition module",Physical health survey results (K-12),Found,"SurveyQuestionResponse.SurveyResponse.Person, SurveyQuestionResponse.SurveyQuestionResponseValue",,,,,Manual,Not Available,,,,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",Outcomes & Milestones,PS,Physical development and well-being,"Percentage of adults who rate their own health as good, very good, or excellent on the Self-Rated Health scale",Physical health survey results (Postsecondary),Not Found,N/A,,,,,Manual,Not Available,"The Behavioral Risk Factor Surveillance System Survey, administered by the Centers for Disease Control, asks respondents if they live in college housing, which could include housing for students or faculty members. We have not seen any evidence that states disaggregate data by residence in college housing.",,,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",Outcomes & Milestones,PS,Physical development and well-being,Percentage of individuals meeting benchmarks on the Health-Related Quality of Life Scale,Scores on Health-Related Quality of Life Scale,Not Found,N/A,,,,,Manual,Not Available,"The Behavioral Risk Factor Surveillance System Survey, administered by the Centers for Disease Control, asks questions focused on Health-Related Quality of Life (HRQOL), which can form the basis of an index. We have not found state-wide analysis or reporting of HRQOL data, nor have we seed that information disaggregated by postsecondary student status. The BRFSS asks respondents if they live in college housing, which could include housing for students or faculty members. We have not seen any evidence that states disaggregate data by residence in college housing. (https://www.cdc.gov/brfss/questionnaires/pdf-ques/2023-BRFSS-Questionnaire-508.pdf)",,,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",Outcomes & Milestones,WF,Physical development and well-being,"Percentage of adults who rate their own health as good, very good, or excellent on the Self-Rated Health scale",Physical health survey results (Workforce),Not Found,N/A,,,,BRFSS Questionnaires,Semi-Automated,Partially Available,"Since 2013, the NIOSH worker safety agency has sponsored an optional Behavioral Risk Factor Surveillance Survey module  to collect industry and occupation data on general health, among other items."" Alabama never participated in this module, but the state has particpated in the survey more broadly. which means that data for the population as a whole are be available. Because data are available by age band, it could be possible to get results for working-age adults.",,,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",Outcomes & Milestones,WF,Physical development and well-being,Percentage of individuals meeting benchmarks on the Health-Related Quality of Life Scale,Scores on Health-Related Quality of Life Scale,Not Found,N/A,,,,,Manual,Not Available,"The Behavioral Risk Factor Surveillance System Survey, administered by the Centers for Disease Control, asks questions focused on Health-Related Quality of Life (HRQOL), which can form the basis of an index. We have not found state-wide analysis or reporting of HRQOL data, nor have we seed that information disaggregated by postsecondary student status. The BRFSS asks respondents if they live in college housing, which could include housing for students or faculty members. We have not seen any evidence that states disaggregate data by residence in college housing. (https://www.cdc.gov/brfss/questionnaires/pdf-ques/2023-BRFSS-Questionnaire-508.pdf)",,,,,,,,,,
"10. Do students attend schools with safe, inclusive, and supportive environments that support their social, emotional, mental, and physical development and well-being?","Social, Emotional, & Physical Wellbeing",E-W System Conditions,PK,Representational racial and ethnic diversity of educators,Educational staff composition by race and ethnicity (%) compared to student composition by race and ethnicity (%),Student race/ethnicity,Likely not available,"StudentEducationOrganizationAssociation.Race, StudentEducationOrganizationAssociation.HispanicLatinoEthnicity",,,,,Automated,Available,,,PK Tables not available in CEDS DWH,,,,,,,,
